date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:45	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266b11ffa-239b%22	https://themewagon.github.io/robots.txt		(from )
16:43:46	76165/76165	---M-Z	200	added ('OK')	text/html	etag:W/%2265680f30-12985%22	https://themewagon.github.io/mr-mrs/	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/index.html	(from )
16:43:47	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/mr-mrs/)
16:43:47	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/mr-mrs/)
16:43:48	16964/16964	---M-Z	200	added ('OK')	text/css	etag:W/%2265680f30-4244%22	https://themewagon.github.io/mr-mrs/lib/animate/animate.min.css	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/lib/animate/animate.min.css	(from https://themewagon.github.io/mr-mrs/)
16:43:48	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%2265680f30-9e4%22	https://themewagon.github.io/mr-mrs/lib/lightbox/css/lightbox.min.css	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/mr-mrs/)
16:43:48	166088/166088	---M-Z	200	added ('OK')	text/css	etag:W/%2265680f30-288c8%22	https://themewagon.github.io/mr-mrs/css/bootstrap.min.css	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/css/bootstrap.min.css	(from https://themewagon.github.io/mr-mrs/)
16:43:49	9019/9019	---M-Z	200	added ('OK')	text/css	etag:W/%2265680f30-233b%22	https://themewagon.github.io/mr-mrs/css/style.css	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/css/style.css	(from https://themewagon.github.io/mr-mrs/)
16:43:49	76165/76165	---M-Z	200	added ('OK')	text/html	etag:W/%2265680f30-12985%22	https://themewagon.github.io/mr-mrs/index.html	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/index-2.html	(from https://themewagon.github.io/mr-mrs/)
16:43:51	299051/299051	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-4902b%22	https://themewagon.github.io/mr-mrs/img/carousel-2.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/carousel-2.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:52	15394/15394	---M--	200	added ('OK')	image/png	etag:%2265680f30-3c22%22	https://themewagon.github.io/mr-mrs/img/tamp-bg-1.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/tamp-bg-1.png	(from https://themewagon.github.io/mr-mrs/)
16:43:54	6756/6756	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-1a64%22	https://themewagon.github.io/mr-mrs/img/bride.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/bride.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:54	6503/6503	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-1967%22	https://themewagon.github.io/mr-mrs/img/Groom.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/Groom.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:54	88684/88684	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-15a6c%22	https://themewagon.github.io/mr-mrs/img/about-1.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/about-1.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:55	18679/18679	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-48f7%22	https://themewagon.github.io/mr-mrs/img/story-1.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/story-1.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:55	26858/26858	---M--	200	added ('OK')	image/png	etag:%2265680f30-68ea%22	https://themewagon.github.io/mr-mrs/img/bg-flower.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/bg-flower.png	(from https://themewagon.github.io/mr-mrs/)
16:43:55	13811/13811	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-35f3%22	https://themewagon.github.io/mr-mrs/img/story-2.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/story-2.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:56	7445/7445	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-1d15%22	https://themewagon.github.io/mr-mrs/img/story-3.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/story-3.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:56	13044/13044	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-32f4%22	https://themewagon.github.io/mr-mrs/img/story-4.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/story-4.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:56	15429/15429	---M--	200	added ('OK')	image/png	etag:%2265680f30-3c45%22	https://themewagon.github.io/mr-mrs/img/attendance-bg.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/attendance-bg.png	(from https://themewagon.github.io/mr-mrs/)
16:43:56	28873/28873	---M--	200	added ('OK')	image/png	etag:%2265680f30-70c9%22	https://themewagon.github.io/mr-mrs/img/wedding-bg.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/wedding-bg.png	(from https://themewagon.github.io/mr-mrs/)
16:43:57	66465/66465	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-103a1%22	https://themewagon.github.io/mr-mrs/img/gallery-2.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-2.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:57	51184/51184	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-c7f0%22	https://themewagon.github.io/mr-mrs/img/gallery-3.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-3.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:58	54184/54184	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-d3a8%22	https://themewagon.github.io/mr-mrs/img/gallery-1.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-1.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:58	89778/89778	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-15eb2%22	https://themewagon.github.io/mr-mrs/img/gallery-4.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-4.jpg	(from https://themewagon.github.io/mr-mrs/)
16:43:59	55269/55269	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-d7e5%22	https://themewagon.github.io/mr-mrs/img/gallery-6.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-6.jpg	(from https://themewagon.github.io/mr-mrs/)
16:44:00	49768/49768	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-c268%22	https://themewagon.github.io/mr-mrs/img/gallery-7.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-7.jpg	(from https://themewagon.github.io/mr-mrs/)
16:44:01	96458/96458	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-178ca%22	https://themewagon.github.io/mr-mrs/img/gallery-8.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-8.jpg	(from https://themewagon.github.io/mr-mrs/)
16:44:01	48215/48215	---M--	200	added ('OK')	image/png	etag:%2265680f30-bc57%22	https://themewagon.github.io/mr-mrs/img/bridesmaid-1.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/bridesmaid-1.png	(from https://themewagon.github.io/mr-mrs/)
16:44:02	13705/13705	---M--	200	added ('OK')	image/png	etag:%2265680f30-3589%22	https://themewagon.github.io/mr-mrs/img/team-1-bg.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/team-1-bg.png	(from https://themewagon.github.io/mr-mrs/)
16:44:02	54586/54586	---M--	200	added ('OK')	image/png	etag:%2265680f30-d53a%22	https://themewagon.github.io/mr-mrs/img/bridesmaid-team-2.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/bridesmaid-team-2.png	(from https://themewagon.github.io/mr-mrs/)
16:44:03	63892/63892	---M--	200	added ('OK')	image/png	etag:%2265680f30-f994%22	https://themewagon.github.io/mr-mrs/img/bridesmaid-3.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/bridesmaid-3.png	(from https://themewagon.github.io/mr-mrs/)
16:44:03	291131/291131	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-4713b%22	https://themewagon.github.io/mr-mrs/img/carousel-1.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/carousel-1.jpg	(from https://themewagon.github.io/mr-mrs/)
16:44:04	46492/46492	---M--	200	added ('OK')	image/png	etag:%2265680f30-b59c%22	https://themewagon.github.io/mr-mrs/img/bridesmaid-4.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/bridesmaid-4.png	(from https://themewagon.github.io/mr-mrs/)
16:44:04	89795/89795	---M--	200	added ('OK')	image/jpeg	etag:%2265680f30-15ec3%22	https://themewagon.github.io/mr-mrs/img/gallery-5.jpg	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/gallery-5.jpg	(from https://themewagon.github.io/mr-mrs/)
16:44:05	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/mr-mrs/img/Groomsmen-2.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/Groomsmen-2.png	(from https://themewagon.github.io/mr-mrs/)
16:44:05	90537/90537	---M--	200	added ('OK')	image/png	etag:%2265680f30-161a9%22	https://themewagon.github.io/mr-mrs/img/Groomsmen-3.png	C:/Users/LENOVO/Downloads/Mayank%20Webichi/final%20cut/themewagon.github.io/mr-mrs/img/Groomsmen-3.png	(from https://themewagon.github.io/mr-mrs/)
